"","player.name","player.name.GK","possession_team.name","play_pattern.name","shot.statsbomb_xg","shot.first_time","location.x","location.y","DistToGoal","DistToKeeper","AngleToGoal","AngleDeviation","avevelocity","DefendersInCone","InCone.GK","under_pressure","goal","shot.type.name_Free.Kick","shot.type.name_Open.Play","shot.type.name_Penalty","shot.technique.name_Half.Volley","shot.technique.name_Lob","shot.technique.name_Normal","shot.technique.name_Volley","shot.body_part.name_processed_Head","shot.body_part.name_processed_Other","shot.body_part.name_processed_Stronger.Foot","shot.body_part.name_processed_Weaker.Foot"
"1","Dennis Bergkamp","Paul Jones","Arsenal","From Throw In",0.18677612,1,104.4,34.8,1.78378985456476,1.85737027964535,1.04474507153837,0.473546293038234,-0.0578687526417457,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0
"2","Thierry Henry","Paul Jones","Arsenal","From Throw In",0.031963106,0,107.2,18.1,2.7516788672383,0.839694818886974,3.38302182140394,0.302836423387504,-0.0449203227443163,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0
"3","Gilberto Aparecido da Silva","Paul Jones","Arsenal","From Throw In",0.101165496,1,109.1,50.3,1.62680340821516,0.895261659714051,2.45836559954762,1.41704283155546,-0.0662530383094637,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0
"4","Sulzeer Jeremiah ""Sol"" Campbell","Paul Jones","Arsenal","From Corner",0.03724119,0,109.1,39.3,1.1848423469176,0.313522511478502,0.208241167449496,0.692194385937447,-0.0769197590131562,3,3,1,0,0,1,0,0,0,1,0,1,0,0,0
"5","Dennis Bergkamp","Paul Jones","Arsenal","From Corner",0.011366472,0,91.7,39.9,3.06993720893233,0.302787489338128,0.0114736813435167,1.11628124840456,-0.0457480428954749,2,1,0,0,0,1,0,1,0,0,0,0,0,0,1
"6","Dennis Bergkamp","Paul Jones","Arsenal","From Goal Kick",0.23466155,0,109.6,50.3,1.58781814713132,1.6421126458316,2.53455296621225,0.328882747785522,-0.0672603622980363,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0
"7","Eduardo César Daude Gaspar","Paul Jones","Arsenal","From Throw In",0.040604666,1,100.3,30.5,2.37251351726717,0.677053408896547,1.45901574531852,1.14481409862229,-0.0520471844804393,2,1,0,0,0,1,0,1,0,0,0,0,0,1,0
"8","Thierry Henry","Paul Jones","Arsenal","Regular Play",0.36041838,1,106.5,49.2,1.77217455533157,3.71842802622473,1.94235879273774,0.0815873868403141,-0.082148426608903,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
"9","Thierry Henry","Paul Jones","Arsenal","Regular Play",0.019422866,0,94.5,28.8,3.02123454782323,0.566880500306518,1.34379664225802,0.780195701335245,-0.038736602322885,1,2,0,0,0,1,0,0,0,1,0,0,0,1,0
"10","Kolo Habib Touré","Paul Jones","Arsenal","From Corner",0.7232792,0,117.6,39.3,0.27119417343871,1.12202923335119,0.921498014146438,2.96924875270866,-0.0855725660103485,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0
