"","id","player.id","player.name","player.name.GK","possession_team.name","play_pattern.name","shot.statsbomb_xg","shot.first_time","shot.outcome.name","shot.type.name","shot.body_part.name","shot.technique.name","location.x","location.y","DistToGoal","DistToKeeper","AngleToGoal","AngleDeviation","avevelocity","DefendersInCone","InCone.GK","under_pressure","shot.end_location.x","shot.end_location.y","DominantFoot","goal","shot.body_part.name_processed"
"1","b69245a8-00da-4bac-8766-7b1d7548acbc",15042,"Dennis Bergkamp","Paul Jones","Arsenal","From Throw In",0.18677612,1,"Goal","Open Play","Right Foot","Half Volley",104.4,34.8,16.4438438328756,6.04152298679728,18.434948822922,10.2511987508174,21.2964681957293,0,1,0,120,43.8,"Right Foot",1,"Stronger Foot"
"2","86c1c1ba-71a9-401e-a11e-c43716c2f543",15516,"Thierry Henry","Paul Jones","Arsenal","From Throw In",0.031963106,0,"Saved","Open Play","Right Foot","Normal",107.2,18.1,25.3663162481272,2.73130005674953,59.6947866454901,6.55571886164326,28.0950995114279,1,1,0,118.7,38.9,"Right Foot",0,"Stronger Foot"
"3","83491870-daa3-4174-b59a-f96d63c9881d",40221,"Gilberto Aparecido da Silva","Paul Jones","Arsenal","From Throw In",0.101165496,1,"Off T","Open Play","Right Foot","Normal",109.1,50.3,14.996666296214,2.9120439557122,43.3788540863466,30.6757500127306,16.8942613218575,1,1,0,120,29.5,"Right Foot",0,"Stronger Foot"
"4","35853d1e-c9c3-44b1-8a5e-0fc5000c5111",15637,"Sulzeer Jeremiah ""Sol"" Campbell","Paul Jones","Arsenal","From Corner",0.03724119,0,"Off T","Open Play","Head","Normal",109.1,39.3,10.9224539367305,1.01980390271856,3.67449952082977,14.9844319948501,11.2936516737077,3,3,1,120,33.4,"Right Foot",0,"Head"
"5","09719618-3f33-445d-99c8-fb8cf218038b",15042,"Dennis Bergkamp","Paul Jones","Arsenal","From Corner",0.011366472,0,"Saved","Open Play","Left Foot","Half Volley",91.7,39.9,28.3001766778937,0.984885780179615,0.202457742219153,24.1649467167971,27.6605013257885,2,1,0,118.3,42.4,"Right Foot",0,"Weaker Foot"
"6","d77af37c-91b4-4c9c-843e-7889f84bd380",15042,"Dennis Bergkamp","Paul Jones","Arsenal","From Goal Kick",0.23466155,0,"Saved","Open Play","Right Foot","Normal",109.6,50.3,14.6372811683044,5.34134814442946,44.7232109478222,7.11956246480878,16.3653613341359,0,1,1,116.2,44.8,"Right Foot",0,"Stronger Foot"
"7","825e8cb8-199a-43c9-b4fd-84ae9bfe5c19",26014,"Eduardo César Daude Gaspar","Paul Jones","Arsenal","From Throw In",0.040604666,1,"Off T","Open Play","Left Foot","Half Volley",100.3,30.5,21.8709853458869,2.20227155455453,25.7449222107161,24.78261794094,24.3531087244616,2,1,0,120,34.9,"Left Foot",0,"Stronger Foot"
"8","0de7bda3-e2a2-4192-a5e0-5d73eae7ec18",15516,"Thierry Henry","Paul Jones","Arsenal","Regular Play",0.36041838,1,"Goal","Open Play","Right Foot","Normal",106.5,49.2,16.3367683462795,12.0950403058444,34.2737055338748,1.76618111123585,8.54831625177515,0,1,1,120,38.6,"Right Foot",1,"Stronger Foot"
"9","8c5f124e-e4c5-4c48-bf7d-dda75e3c9932",15516,"Thierry Henry","Paul Jones","Arsenal","Regular Play",0.019422866,0,"Saved","Open Play","Right Foot","Normal",94.5,28.8,27.8512118228274,1.84390889145858,23.7118345932598,16.8894600517446,31.3418897120695,1,2,0,117.7,38.8,"Right Foot",0,"Stronger Foot"
"10","84db8232-9c12-4980-a6cc-734d1213aa02",38412,"Kolo Habib Touré","Paul Jones","Arsenal","From Corner",0.7232792,0,"Goal","Open Play","Head","Normal",117.6,39.3,2.50000000000001,3.64965751817893,16.260204708312,64.2774730836625,6.75045646889857,0,1,0,120,39.4,"Right Foot",1,"Head"
"11","6bff8118-c819-4898-ad9f-993ae31c00d5",12529,"Ashley Cole","Paul Jones","Arsenal","From Throw In",0.1392026,1,"Off T","Open Play","Left Foot","Normal",111.3,27.3,15.3941547348336,7.46257328272225,55.5873213182371,2.00037206341166,19.1956520335571,0,1,0,120,44.8,"Left Foot",0,"Stronger Foot"
"12","d5fa0f1f-ec1c-4e42-aa37-e7d4f826c25f",15515,"Patrick Vieira","Kasey Keller","Arsenal","From Counter",0.8369535,1,"Goal","Open Play","Right Foot","Normal",111.3,39.7,8.70517087712815,8.45340168216322,1.97493401088214,60.5506343628407,12.7202309146027,0,1,0,120,43.1,"Right Foot",1,"Stronger Foot"
"13","df38b5ec-4b1d-45a2-bdac-390515164272",19312,"Robert Pirès ","Kasey Keller","Arsenal","Regular Play",0.16856258,1,"Goal","Open Play","Left Foot","Half Volley",109.7,32.9,12.5099960031968,4.7169905660283,34.5792876032055,23.415329188711,17.0003252832019,0,1,0,120,42.1,"Right Foot",1,"Weaker Foot"
"14","0c923b8d-f940-4e98-a5d6-1c824d8b276a",15516,"Thierry Henry","Kasey Keller","Arsenal","Regular Play",0.115363106,0,"Saved","Open Play","Left Foot","Normal",98.4,44.7,22.1054291973714,6.46297145282262,12.2757857937789,4.27105693648612,26.8067154125975,0,1,0,113.6,40.9,"Right Foot",0,"Weaker Foot"
"15","f5fc2996-d411-4ca2-b317-20533eb63e9e",15516,"Thierry Henry","Kasey Keller","Arsenal","From Free Kick",0.013027268,0,"Saved","Open Play","Right Foot","Normal",95.7,23.6,29.3163776752859,2.41867732448957,34.0153002457342,26.2398184573236,33.9299802836582,1,2,0,118.9,36.1,"Right Foot",0,"Stronger Foot"
"16","ecc6fe1b-9bd7-45f9-a0d2-9a744226c0f9",15516,"Thierry Henry","Kasey Keller","Arsenal","From Throw In",0.33621103,0,"Off T","Open Play","Right Foot","Normal",108.1,46.8,13.7058381721075,8.28009661779378,29.7448812969422,7.40180540107961,24.7007247689963,0,1,0,120,44.8,"Right Foot",0,"Stronger Foot"
"17","a515de61-9014-41f7-9c5b-6e96bf406afa",19312,"Robert Pirès ","Kasey Keller","Arsenal","From Free Kick",0.36621675,1,"Post","Open Play","Right Foot","Normal",107.4,49.7,15.9012578118839,7.3,37.5905612683617,3.52152917080521,25.3864733680058,0,1,0,120,39.9,"Right Foot",0,"Stronger Foot"
"18","d462671d-f93e-4b19-9dd1-b0832d54cf37",15516,"Thierry Henry","Kasey Keller","Arsenal","From Free Kick",0.021714319,0,"Blocked","Open Play","Right Foot","Normal",93.9,27.7,28.853076092507,3.99249295553543,25.2328313232083,3.16493176079814,50.0338279335081,2,2,0,100,31.4,"Right Foot",0,"Stronger Foot"
"19","bed657b0-11fd-4ac5-b1aa-1c6923d8c5e2",15516,"Thierry Henry","Kasey Keller","Arsenal","From Free Kick",0.13790265,1,"Blocked","Open Play","Right Foot","Normal",109.8,31.2,13.4714512952391,4.16773319683494,40.7858214772659,18.9577413592049,16.6651124744389,1,1,0,113.1,34.4,"Right Foot",0,"Stronger Foot"
"20","62f4c16f-a4d0-42a5-bdd1-81cf2e70a694",15516,"Thierry Henry","Carlo Cudicini","Arsenal","Regular Play",0.059341166,0,"Wayward","Open Play","Right Foot","Normal",108.5,33.5,13.2098448136229,3.41760149812702,29.4758890032457,39.9680657771708,10.9895934348001,1,2,0,107.7,44.1,"Right Foot",0,"Stronger Foot"
"21","5f6f0387-6ccd-4aed-aba7-bfc581cdffd3",26014,"Eduardo César Daude Gaspar","Carlo Cudicini","Arsenal","From Free Kick",0.05423032,0,"Goal","Free Kick","Left Foot","Normal",93.2,47.4,27.8028775489157,1,15.4358618874668,15.4358618874668,98.246399890637,4,1,0,120,43.2,"Left Foot",1,"Stronger Foot"
"22","1b1a1c57-4ebc-4244-a01d-69ba2a70392e",40222,"Laureano Bisan-Etame Mayer","Carlo Cudicini","Arsenal","Regular Play",0.07300029,0,"Off T","Open Play","Left Foot","Normal",99.7,47.5,21.6411644788352,3.05941170815567,20.2771604476895,8.96722797366922,40.0351896529973,0,1,0,120,33.8,"Right Foot",0,"Weaker Foot"
"23","d967aab2-98df-44e1-86c4-4ad283d17f3e",26014,"Eduardo César Daude Gaspar","Carlo Cudicini","Arsenal","From Free Kick",0.028387174,1,"Saved","Open Play","Left Foot","Half Volley",103.3,40.1,16.7002993985138,1.99248588451713,0.34308439952423,17.1824839741986,26.0618837453565,3,2,0,118.1,41.7,"Left Foot",0,"Stronger Foot"
"24","436bf03d-43bb-4ecd-b654-10891f3ba8b7",19312,"Robert Pirès ","Carlo Cudicini","Arsenal","From Corner",0.010445771,0,"Blocked","Open Play","Right Foot","Half Volley",96.4,28.1,26.4304748349325,2.1095023109729,26.7589447838314,4.67062083100716,18.7008700138186,4,3,0,99.1,29.4,"Right Foot",0,"Stronger Foot"
"25","11257756-de20-4892-af0d-c41b17d307be",15516,"Thierry Henry","Carlo Cudicini","Arsenal","From Throw In",0.05302447,0,"Off T","Open Play","Head","Normal",107.8,38.7,12.269066794178,1.38924439894498,6.08233669328202,65.8258995297527,19.352836011028,0,1,0,120,34.4,"Right Foot",0,"Head"
"26","04aa5d8e-c02d-4589-9f5b-20d4432cb9bc",19312,"Robert Pirès ","Carlo Cudicini","Arsenal","Regular Play",0.025819095,0,"Off T","Open Play","Right Foot","Half Volley",97.9,30.4,24.0950202324049,1.09999999999999,23.4796029827795,23.4796029827795,32.090858737205,1,1,0,120,51.1,"Right Foot",0,"Stronger Foot"
"27","b8c8e6c6-3ce9-4c94-9bc9-2073025fcd7c",40221,"Gilberto Aparecido da Silva","Carlo Cudicini","Arsenal","From Goal Kick",0.030991022,1,"Saved","Open Play","Right Foot","Half Volley",96.9,39.8,23.1008657846411,1.90000000000001,0.496054960395668,0.496054960395668,29.2042542753233,3,1,0,116.7,40,"Right Foot",0,"Stronger Foot"
"28","1880c25d-6141-47a1-8fc6-bc0469c2487a",19312,"Robert Pirès ","Carlo Cudicini","Arsenal","From Free Kick",0.018532068,0,"Saved","Open Play","Right Foot","Half Volley",103.8,23.9,22.8396584913172,1.38924439894498,44.8226142524677,14.920948584003,28.4689044872879,1,1,0,119.5,36.6,"Right Foot",0,"Stronger Foot"
"29","162449ed-12d0-4377-9c49-ef9bef23ed5b",19312,"Robert Pirès ","Carlo Cudicini","Arsenal","From Corner",0.04494997,1,"Saved Off Target","Open Play","Right Foot","Half Volley",98.5,41.9,21.5837902139545,0.509901951359279,5.05022842483282,6.25970404918753,16.4530474155793,3,1,0,118.7,45.1,"Right Foot",0,"Stronger Foot"
"30","9cbd1c78-6827-483d-9b75-cdac841969fe",15516,"Thierry Henry","Carlo Cudicini","Arsenal","Regular Play",0.24950899,0,"Saved","Open Play","Right Foot","Normal",111.1,43.2,9.45780101292051,6.04152298679729,19.7760766026392,4.66787817777733,10.5835498768668,1,1,0,114,42.7,"Right Foot",0,"Stronger Foot"
"31","0eadc4dc-91b4-4621-b292-7da9c81049ba",24971,"Nwankwo Christian Kanu","Carlo Cudicini","Arsenal","From Corner",0.0707688,0,"Post","Open Play","Head","Normal",112.5,45.3,9.18368117913508,1.7464249196573,35.2475750583462,31.1230472109969,20.0589280469856,1,2,0,120,44.1,"Right Foot",0,"Head"
"32","556d966d-3a1d-41f3-9fcd-348e266e229c",15516,"Thierry Henry","Carlo Cudicini","Arsenal","From Free Kick",0.80951947,0,"Goal","Open Play","Other","Normal",110.6,40.6,9.4191294714533,13.2378245946983,3.65222278030639,0.680091202882167,7.78686487055044,0,0,0,120,42.4,"Right Foot",1,"Other"
"33","5f7d0890-6055-4344-988b-09caa38280ed",15516,"Thierry Henry","Carlo Cudicini","Arsenal","From Goal Kick",0.03316599,0,"Off T","Open Play","Head","Normal",110.9,33.6,11.1251966274758,0.948683298050518,35.1185938796498,16.6836450567281,12.4259133033213,1,2,1,120,31.7,"Right Foot",0,"Head"
"34","3ef35fba-81a3-41d3-8066-715ee9cbbb0a",15042,"Dennis Bergkamp","Carlo Cudicini","Arsenal","From Free Kick",0.07816828,1,"Off T","Open Play","Right Foot","Normal",99.6,33.5,21.4105114371423,4.60108682813093,17.6733068120347,16.4279425452663,26.9880927108808,1,1,0,120,34.6,"Right Foot",0,"Stronger Foot"
"35","846f60cd-e4eb-46d9-8586-5fb5790bf5bc",19312,"Robert Pirès ","Thomas Løvendahl Sørensen","Arsenal","From Free Kick",0.017633846,1,"Saved","Open Play","Right Foot","Volley",99.8,62.4,30.162891108115,4.73814309619285,47.9563106575036,2.10121326123689,30.4232814724989,0,1,0,118.8,41,"Right Foot",0,"Stronger Foot"
"36","c56e1570-1e4d-4d45-97dc-db2af95f71a9",19312,"Robert Pirès ","Thomas Løvendahl Sørensen","Arsenal","From Corner",0.0151691465,0,"Saved","Open Play","Right Foot","Normal",88.5,46.7,32.2046580481768,2.10950231097289,12.0077759127349,17.4481079437405,27.2700226545393,1,2,0,117.6,38.2,"Right Foot",0,"Stronger Foot"
"37","bb0b96be-b6e0-4604-b9a8-6f4c9c43b22e",15516,"Thierry Henry","Thomas Løvendahl Sørensen","Arsenal","Regular Play",0.09682565,0,"Blocked","Open Play","Right Foot","Normal",110.4,51.8,15.2118374958451,3.17647603485372,50.8696004430147,10.9518094470261,29.0289684527223,1,1,1,115.9,43.5,"Right Foot",0,"Stronger Foot"
"38","a80546e9-5730-401c-a63c-8e36f6b1c979",15516,"Thierry Henry","Thomas Løvendahl Sørensen","Arsenal","From Free Kick",0.07899955,0,"Goal","Free Kick","Right Foot","Normal",97.4,38.3,22.663847863944,3.27566787083184,4.30175827405911,73.3591544476147,17.2602850372435,2,2,0,120,42.8,"Right Foot",1,"Stronger Foot"
"39","52c7499b-6f86-4acc-a8fa-d1d458becece",15516,"Thierry Henry","Thomas Løvendahl Sørensen","Arsenal","From Free Kick",0.023477051,0,"Saved","Open Play","Left Foot","Half Volley",104.6,23.4,22.6433213111505,2.88444102037119,47.1475854282985,9.16234704572181,22.0301273669651,1,2,0,118,37.8,"Right Foot",0,"Weaker Foot"
"40","4d40279a-3236-4fcb-bebe-e6739e4ffe0c",15515,"Patrick Vieira","Thomas Løvendahl Sørensen","Arsenal","Regular Play",0.0076202904,0,"Blocked","Open Play","Right Foot","Normal",84.2,40.3,35.8012569611739,2.70185121722126,0.480120992330797,1.64097540433083,33.9804095498007,3,2,0,88.6,40.6,"Right Foot",0,"Stronger Foot"
"41","8004a83a-ef2e-4651-b302-ddedc70b1dc5",15516,"Thierry Henry","Thomas Løvendahl Sørensen","Arsenal","From Goal Kick",0.03707128,0,"Saved","Open Play","Right Foot","Normal",100.7,29.7,21.8764713790867,3.2310988842807,28.087893168209,6.28648368185718,28.9687163401715,0,2,1,116.7,39.7,"Right Foot",0,"Stronger Foot"
